,Champions,Avg Place,Pick Rate,Win Rate
It Pays to Learn,"['Shen', 'Aatrox', ""Bel'Veth"", 'Heimer', ""K'Sante"", 'Ryze', 'Senna', 'Sion']",4.09,0.53,22.0%
Freljord Akshan,"['Ashe', 'Akshan', 'Lissandra', 'Azir', 'Jarvan IV', 'Nasus', 'Sejuani', 'Sion']",4.14,0.49,12.0%
Noxus Darius Katarina,"['Cassiopeia', 'Kled', 'Swain', 'Darius', 'Katarina', 'Azir', 'Nasus', 'Sion']",4.15,0.18,13.5%
Sorcerer Lux,"['Malzahar', 'Swain', 'Sona', 'Taric', ""Vel'Koz"", 'Jarvan IV', 'Lux', 'Ahri']",4.16,0.71,15.4%
Ravenous Hunter,"['Irelia', 'Sett', 'Warwick', ""Kai'Sa"", 'Nasus', 'Urgot', 'Yasuo', 'Aatrox']",4.26,0.12,17.6%
Noxus Darius,"['Cassiopeia', 'Samira', 'Kled', 'Swain', 'Warwick', 'Darius', 'Ekko', 'Katarina']",4.28,0.26,14.6%
Zaun Zeri,"['Jinx', 'Vi', 'Ekko', 'Jayce', 'Sejuani', 'Urgot', 'Zeri', 'Senna']",4.34,0.27,16.2%
Void Kai'Sa,"[""Cho'Gath"", 'Malzahar', 'Kassadin', ""Vel'Koz"", ""Rek'Sai"", ""Kai'Sa"", 'Yasuo', ""Bel'Veth""]",4.36,0.23,10.9%
Zaun Zeri Sejuani,"['Ashe', 'Jinx', 'Ekko', 'Lissandra', 'Sejuani', 'Urgot', 'Zeri', 'Sion']",4.36,0.32,12.3%
Invoker Karma,"['Galio', 'Soraka', 'Karma', 'Lissandra', 'Taric', 'Shen', 'Ahri', 'Ryze']",4.36,0.79,14.5%
